,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 27 MARS 2022,57,TIRAGE «ESPOIR» N°205,26,23,72,05
1,DIMANCHE 27 MARS 2022,75,TIRAGE «ESPOIR» NUMEROS MACHINE N°205,88,76,80,09
2,DIMANCHE 27 MARS 2022,11,TIRAGE «AWALE» N°168,33,32,03,76
3,DIMANCHE 27 MARS 2022,78,TIRAGE «AWALE» NUMEROS MACHINE N°168,85,61,75,39
4,DIMANCHE 27 MARS 2022,13,TIRAGE «PRESTIGE» N°236,22,07,63,79
5,DIMANCHE 27 MARS 2022,34,TIRAGE «PRESTIGE» NUMEROS MACHINE N°236,48,50,37,74
6,DIMANCHE 27 MARS 2022,63,TIRAGE «BENEDICTION» N°188,89,39,06,33
7,DIMANCHE 27 MARS 2022,51,TIRAGE «BENEDICTION» NUMEROS MACHINE N°188,23,67,27,03
8,SAMEDI 26 MARS 2022,20,TIRAGE «SATURDAY NATIONAL » N°3101,48,58,01,38
9,SAMEDI 26 MARS 2022,84,TIRAGE « MOAYE » NUMEROS MACHINE N°168,65,48,15,69
10,SAMEDI 26 MARS 2022,23,TIRAGE « MOAYE » N°168,66,06,85,87
11,SAMEDI 26 MARS 2022,22,TIRAGE « DIAMANT» NUMEROS MACHINE N°717,17,25,57,80
