,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 12 MAI 2022,77,TIRAGE «KADO» N°193,82,86,80,59
1,JEUDI 12 MAI 2022,89,TIRAGE «KADO» NUMEROS MACHINE N°193,06,07,10,54
2,MERCREDI 11 MAI 2022,32,TIRAGE «BARAKA» N°175,05,53,30,13
3,MERCREDI 11 MAI 2022,22,TIRAGE «BARAKA» NUMEROS MACHINE N°175,20,25,57,38
4,MERCREDI 11 MAI 2022,54,TIRAGE «FORTUNE» N°723,65,38,42,03
5,MERCREDI 11 MAI 2022,81,TIRAGE «FORTUNE» NUMEROS MACHINE N°723,08,09,52,51
6,MERCREDI 11 MAI 2022,53,TIRAGE «PREMIERE HEURE» N°194,42,56,58,79
7,MERCREDI 11 MAI 2022,46,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°194,85,08,26,35
8,MERCREDI 11 MAI 2022,22,TIRAGE « MID WEEK » N°962,21,74,31,66
9,MARDI 10 MAI 2022,37,TIRAGE «SIKA» NUMEROS MACHINE N°175,87,30,19,26
10,MARDI 10 MAI 2022,19,TIRAGE « LUCKY TUESDAY » N°764,64,27,26,34
11,MARDI 10 MAI 2022,80,TIRAGE « EMERGENCE » NUMEROS MACHINE N°315,19,51,36,34
