,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 10 MARS 2022,19,TIRAGE «KADO» N°184,60,30,54,81
1,JEUDI 10 MARS 2022,67,TIRAGE «KADO» NUMEROS MACHINE N°184,03,23,29,78
2,MERCREDI 9 MARS 2022,34,TIRAGE « MID WEEK » N°953,49,08,77,69
3,MERCREDI 9 MARS 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°166,07,04,09,33
4,MERCREDI 9 MARS 2022,02,TIRAGE «BARAKA» N°166,37,14,24,30
5,MERCREDI 9 MARS 2022,46,TIRAGE «FORTUNE» NUMEROS MACHINE N°714,63,86,69,12
6,MERCREDI 9 MARS 2022,05,TIRAGE «FORTUNE» N°714,03,39,15,72
7,MERCREDI 9 MARS 2022,70,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°185,73,30,76,06
8,MERCREDI 9 MARS 2022,63,TIRAGE «PREMIERE HEURE» N°185,21,42,12,28
9,MARDI 8 MARS 2022,69,TIRAGE «SIKA» NUMEROS MACHINE N°166,79,85,10,09
10,MARDI 8 MARS 2022,46,TIRAGE « LUCKY TUESDAY » N°756,40,01,19,38
11,MARDI 8 MARS 2022,61,TIRAGE « EMERGENCE » NUMEROS MACHINE N°306,68,47,16,42
