,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 24 NOVEMBRE 2022,71,TIRAGE «KADO» N°221,79,81,89,66
1,JEUDI 24 NOVEMBRE 2022,45,TIRAGE «KADO» NUMEROS MACHINE N°221,08,74,84,50
2,MERCREDI 23 NOVEMBRE 2022,68,TIRAGE «FORTUNE» N°751,33,58,12,79
3,MERCREDI 23 NOVEMBRE 2022,30,TIRAGE «FORTUNE» NUMEROS MACHINE N°751,01,20,34,78
4,MERCREDI 23 NOVEMBRE 2022,21,TIRAGE «PREMIERE HEURE» N°222,82,64,02,18
5,MERCREDI 23 NOVEMBRE 2022,65,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°222,68,46,19,35
6,MERCREDI 23 NOVEMBRE 2022,31,TIRAGE « MID WEEK » N°989,53,63,86,85
7,MERCREDI 23 NOVEMBRE 2022,33,TIRAGE «BARAKA» NUMEROS MACHINE N°203,28,15,65,42
8,MERCREDI 23 NOVEMBRE 2022,80,TIRAGE «BARAKA» N°203,37,76,87,79
9,MARDI 22 NOVEMBRE 2022,25,TIRAGE «SIKA» NUMEROS MACHINE N°203,62,82,28,26
10,MARDI 22 NOVEMBRE 2022,54,TIRAGE « LUCKY TUESDAY » N°792,88,53,11,71
11,MARDI 22 NOVEMBRE 2022,29,TIRAGE « EMERGENCE » NUMEROS MACHINE N°343,69,56,38,54
