,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 19 FÉVRIER 2022,22,TIRAGE « SOUTRA» N°183,47,20,34,12
1,SAMEDI 19 FÉVRIER 2022,54,TIRAGE « SOUTRA» NUMEROS MACHINE N°183,82,60,04,71
2,VENDREDI 18 FÉVRIER 2022,37,TIRAGE « FRIDAY BONANZA» N° 725,38,72,04,61
3,VENDREDI 18 FÉVRIER 2022,24,TIRAGE « WARI » NUMEROS MACHINE N°163,42,09,81,76
4,VENDREDI 18 FÉVRIER 2022,64,TIRAGE « WARI » N°163,01,89,80,59
5,VENDREDI 18 FÉVRIER 2022,44,TIRAGE « SOLUTION » NUMEROS MACHINE N°303,03,15,82,09
6,VENDREDI 18 FÉVRIER 2022,87,TIRAGE « SOLUTION » N°303,28,34,59,90
7,VENDREDI 18 FÉVRIER 2022,26,TIRAGE «CASH» NUMEROS MACHINE N°183,05,46,20,28
8,VENDREDI 18 FÉVRIER 2022,13,TIRAGE «CASH» N°183,41,03,19,33
9,JEUDI 17 FÉVRIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°163,29,37,40,70
10,JEUDI 17 FÉVRIER 2022,64,TIRAGE « FORTUNE THURSDAY» N°753,87,90,18,32
11,JEUDI 17 FÉVRIER 2022,76,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°303,47,25,40,01
