,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 18 SEPTEMBRE 2022,78,TIRAGE «PRESTIGE» N°261,06,45,81,76
1,DIMANCHE 18 SEPTEMBRE 2022,49,TIRAGE «PRESTIGE» NUMEROS MACHINE N°261,52,09,86,35
2,DIMANCHE 18 SEPTEMBRE 2022,31,TIRAGE «BENEDICTION» N°213,43,25,62,36
3,DIMANCHE 18 SEPTEMBRE 2022,75,TIRAGE «BENEDICTION» NUMEROS MACHINE N°213,69,71,28,27
4,DIMANCHE 18 SEPTEMBRE 2022,40,TIRAGE «SATURDAY NATIONAL » N°3126,79,59,09,44
5,SAMEDI 17 SEPTEMBRE 2022,23,TIRAGE « MOAYE » NUMEROS MACHINE N°193,58,40,41,60
6,SAMEDI 17 SEPTEMBRE 2022,13,TIRAGE « MOAYE » N°193,72,89,67,69
7,SAMEDI 17 SEPTEMBRE 2022,01,TIRAGE « DIAMANT» NUMEROS MACHINE N°742,44,33,51,80
8,SAMEDI 17 SEPTEMBRE 2022,35,TIRAGE « DIAMANT» N°742,30,06,40,23
9,SAMEDI 17 SEPTEMBRE 2022,07,TIRAGE « SOUTRA» NUMEROS MACHINE N°213,82,10,85,32
10,SAMEDI 17 SEPTEMBRE 2022,35,TIRAGE « SOUTRA» N°213,02,34,75,41
11,MERCREDI 14 SEPTEMBRE 2022,23,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°212,55,65,85,39
