,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 8 JUILLET 2022,01,TIRAGE « SOLUTION » N°323,14,59,46,16
1,VENDREDI 8 JUILLET 2022,40,TIRAGE « SOLUTION » NUMEROS MACHINE N°323,85,86,28,35
2,VENDREDI 8 JUILLET 2022,35,TIRAGE «CASH» N°203,68,14,20,28
3,VENDREDI 8 JUILLET 2022,42,TIRAGE «CASH» NUMEROS MACHINE N°203,22,30,09,88
4,JEUDI 7 JUILLET 2022,51,TIRAGE « FORTUNE THURSDAY» N°773,04,33,71,89
5,JEUDI 7 JUILLET 2022,39,TIRAGE «MONNI» NUMEROS MACHINE N°183,82,40,24,20
6,JEUDI 7 JUILLET 2022,43,TIRAGE «MONNI» N°183,07,76,03,06
7,JEUDI 7 JUILLET 2022,27,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°323,59,29,67,41
8,JEUDI 7 JUILLET 2022,10,TIRAGE «PRIVILEGE» N°323,20,08,33,54
9,JEUDI 7 JUILLET 2022,16,TIRAGE «KADO» NUMEROS MACHINE N°201,17,56,52,24
10,JEUDI 7 JUILLET 2022,40,TIRAGE «KADO» N°201,18,81,54,48
11,MERCREDI 6 JUILLET 2022,60,TIRAGE «BARAKA» NUMEROS MACHINE N°183,15,06,59,82
