,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 28 DÉCEMBRE 2022,45,TIRAGE «FORTUNE» N°756,05,01,48,71
1,MERCREDI 28 DÉCEMBRE 2022,64,TIRAGE «FORTUNE» NUMEROS MACHINE N°756,02,80,47,25
2,MERCREDI 28 DÉCEMBRE 2022,72,TIRAGE «PREMIERE HEURE» N°227,90,51,85,26
3,MERCREDI 28 DÉCEMBRE 2022,48,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°227,80,09,81,61
4,MARDI 27 DÉCEMBRE 2022,14,TIRAGE «SIKA» N°208,66,29,37,53
5,MARDI 27 DÉCEMBRE 2022,16,TIRAGE «SIKA» NUMEROS MACHINE N°208,81,27,86,75
6,MARDI 27 DÉCEMBRE 2022,79,TIRAGE « EMERGENCE » N°348,24,77,56,14
7,MARDI 27 DÉCEMBRE 2022,25,TIRAGE « EMERGENCE » NUMEROS MACHINE N°348,30,88,59,69
8,MARDI 27 DÉCEMBRE 2022,79,TIRAGE « LA MATINALE » N°227,43,21,75,63
9,MARDI 27 DÉCEMBRE 2022,25,TIRAGE « LA MATINALE » NUMEROS MACHINE N°227,69,35,36,70
10,LUNDI 26 DÉCEMBRE 2022,25,TIRAGE «SPECIAL DAY OFF» N°33,68,13,09,30
11,LUNDI 26 DÉCEMBRE 2022,26,TIRAGE «SPECIAL DAY OFF» NUMEROS MACHINE N°33,79,76,81,36
