,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 11 NOVEMBRE 2022,30,TIRAGE « SOLUTION » N°341,48,85,33,77
1,VENDREDI 11 NOVEMBRE 2022,84,TIRAGE « SOLUTION » NUMEROS MACHINE N°341,54,39,61,22
2,VENDREDI 11 NOVEMBRE 2022,14,TIRAGE «CASH» N°221,52,79,16,66
3,VENDREDI 11 NOVEMBRE 2022,54,TIRAGE «CASH» NUMEROS MACHINE N°221,46,61,21,87
4,JEUDI 10 NOVEMBRE 2022,31,TIRAGE « FORTUNE THURSDAY» N°790,05,08,04,65
5,JEUDI 10 NOVEMBRE 2022,50,TIRAGE «MONNI» NUMEROS MACHINE N°201,08,63,57,84
6,JEUDI 10 NOVEMBRE 2022,74,TIRAGE «MONNI» N°201,26,13,46,85
7,JEUDI 10 NOVEMBRE 2022,26,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°340,37,65,51,83
8,JEUDI 10 NOVEMBRE 2022,89,TIRAGE «PRIVILEGE» N°340,08,59,19,70
9,JEUDI 10 NOVEMBRE 2022,01,TIRAGE «KADO» NUMEROS MACHINE N°219,28,27,63,43
10,JEUDI 10 NOVEMBRE 2022,31,TIRAGE «KADO» N°219,79,82,74,86
11,MERCREDI 9 NOVEMBRE 2022,43,TIRAGE «BARAKA» NUMEROS MACHINE N°201,62,31,69,02
