,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 20 NOVEMBRE 2022,86,TIRAGE «ESPOIR» N°239,67,12,25,88
1,DIMANCHE 20 NOVEMBRE 2022,63,TIRAGE «ESPOIR» NUMEROS MACHINE N°239,01,58,19,15
2,DIMANCHE 20 NOVEMBRE 2022,24,TIRAGE «AWALE» N°202,17,06,68,45
3,DIMANCHE 20 NOVEMBRE 2022,18,TIRAGE «AWALE» NUMEROS MACHINE N°202,15,74,89,69
4,DIMANCHE 20 NOVEMBRE 2022,22,TIRAGE «PRESTIGE» N°270,11,37,18,27
5,DIMANCHE 20 NOVEMBRE 2022,47,TIRAGE «PRESTIGE» NUMEROS MACHINE N°270,36,52,30,87
6,DIMANCHE 20 NOVEMBRE 2022,49,TIRAGE «BENEDICTION» N°222,30,55,38,78
7,DIMANCHE 20 NOVEMBRE 2022,13,TIRAGE «BENEDICTION» NUMEROS MACHINE N°222,54,25,19,43
8,VENDREDI 18 NOVEMBRE 2022,70,TIRAGE « SOLUTION » N°342,90,73,81,04
9,VENDREDI 18 NOVEMBRE 2022,67,TIRAGE « SOLUTION » NUMEROS MACHINE N°342,76,71,20,07
10,VENDREDI 18 NOVEMBRE 2022,09,TIRAGE «CASH» N°222,64,38,37,04
11,VENDREDI 18 NOVEMBRE 2022,62,TIRAGE «CASH» NUMEROS MACHINE N°222,74,15,07,54
