,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 10 SEPTEMBRE 2022,04,TIRAGE « MOAYE » N°192,88,19,15,24
1,SAMEDI 10 SEPTEMBRE 2022,32,TIRAGE « MOAYE » NUMEROS MACHINE N°192,05,46,03,83
2,SAMEDI 10 SEPTEMBRE 2022,63,TIRAGE « DIAMANT» N°741,33,51,02,43
3,SAMEDI 10 SEPTEMBRE 2022,42,TIRAGE « DIAMANT» NUMEROS MACHINE N°741,57,49,76,58
4,SAMEDI 10 SEPTEMBRE 2022,31,TIRAGE « SOUTRA» N°212,14,82,47,19
5,SAMEDI 10 SEPTEMBRE 2022,12,TIRAGE « SOUTRA» NUMEROS MACHINE N°212,40,64,69,22
6,VENDREDI 9 SEPTEMBRE 2022,59,TIRAGE «CASH» N°212,34,60,72,30
7,VENDREDI 9 SEPTEMBRE 2022,36,TIRAGE «CASH» NUMEROS MACHINE N°212,82,35,37,11
8,JEUDI 8 SEPTEMBRE 2022,55,TIRAGE «PRIVILEGE» N°332,67,40,12,87
9,JEUDI 8 SEPTEMBRE 2022,07,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°332,06,63,29,54
10,MERCREDI 7 SEPTEMBRE 2022,36,TIRAGE «FORTUNE» N°739,74,53,21,70
11,MERCREDI 7 SEPTEMBRE 2022,18,TIRAGE «FORTUNE» NUMEROS MACHINE N°739,72,49,67,85
