,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 25 SEPTEMBRE 2022,15,TIRAGE «ESPOIR» N°231,78,72,02,13
1,DIMANCHE 25 SEPTEMBRE 2022,60,TIRAGE «ESPOIR» NUMEROS MACHINE N°231,21,06,80,69
2,DIMANCHE 25 SEPTEMBRE 2022,03,TIRAGE «AWALE» N°194,78,07,15,79
3,DIMANCHE 25 SEPTEMBRE 2022,44,TIRAGE «AWALE» NUMEROS MACHINE N°194,77,42,31,84
4,DIMANCHE 25 SEPTEMBRE 2022,68,TIRAGE «PRESTIGE» N°262,17,28,57,45
5,DIMANCHE 25 SEPTEMBRE 2022,75,TIRAGE «PRESTIGE» NUMEROS MACHINE N°262,86,61,31,69
6,DIMANCHE 25 SEPTEMBRE 2022,64,TIRAGE «BENEDICTION» N°214,81,43,29,76
7,DIMANCHE 25 SEPTEMBRE 2022,53,TIRAGE «BENEDICTION» NUMEROS MACHINE N°214,35,24,57,70
8,SAMEDI 24 SEPTEMBRE 2022,62,TIRAGE « MOAYE » N°194,14,63,64,38
9,SAMEDI 24 SEPTEMBRE 2022,78,TIRAGE « MOAYE » NUMEROS MACHINE N°194,05,35,53,09
10,SAMEDI 24 SEPTEMBRE 2022,73,TIRAGE « DIAMANT» N°743,74,77,49,14
11,SAMEDI 24 SEPTEMBRE 2022,80,TIRAGE « DIAMANT» NUMEROS MACHINE N°743,79,39,28,58
