,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 17 AOÛT 2022,55,TIRAGE «BARAKA» N°189,23,32,85,02
1,MERCREDI 17 AOÛT 2022,90,TIRAGE «BARAKA» NUMEROS MACHINE N°189,45,70,11,01
2,MERCREDI 17 AOÛT 2022,19,TIRAGE «FORTUNE» N°737,87,35,31,33
3,MERCREDI 17 AOÛT 2022,17,TIRAGE «FORTUNE» NUMEROS MACHINE N°737,36,48,15,29
4,MERCREDI 17 AOÛT 2022,89,TIRAGE «PREMIERE HEURE» N°208,13,75,76,50
5,MERCREDI 17 AOÛT 2022,20,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°208,03,90,29,01
6,MERCREDI 17 AOÛT 2022,30,TIRAGE « MID WEEK » N°976,20,69,80,27
7,MARDI 16 AOÛT 2022,63,TIRAGE « EMERGENCE » NUMEROS MACHINE N°329,37,78,88,47
8,MARDI 16 AOÛT 2022,74,TIRAGE « EMERGENCE » N°329,32,70,25,34
9,MARDI 16 AOÛT 2022,68,TIRAGE « LA MATINALE » NUMEROS MACHINE N°208,78,28,01,63
10,MARDI 16 AOÛT 2022,81,TIRAGE « LA MATINALE » N°208,26,46,11,13
11,LUNDI 15 AOÛT 2022,24,TIRAGE «AKWABA» NUMEROS MACHINE N°189,36,58,29,04
