,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
<<<<<<< HEAD
0,MERCREDI 25 MAI 2022,68,TIRAGE « MID WEEK » N°964,72,62,19,60
1,MERCREDI 25 MAI 2022,59,TIRAGE «BARAKA» NUMEROS MACHINE N°176,21,72,69,54
2,MERCREDI 25 MAI 2022,44,TIRAGE «BARAKA» N°176,77,43,50,73
3,MERCREDI 25 MAI 2022,47,TIRAGE «FORTUNE» NUMEROS MACHINE N°725,63,29,33,25
4,MERCREDI 25 MAI 2022,70,TIRAGE «FORTUNE» N°725,44,10,11,27
5,MERCREDI 25 MAI 2022,54,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°196,58,87,55,80
6,MERCREDI 25 MAI 2022,60,TIRAGE «PREMIERE HEURE» N°196,14,72,38,10
7,MARDI 24 MAI 2022,54,TIRAGE «SIKA» NUMEROS MACHINE N°177,62,55,59,03
8,MARDI 24 MAI 2022,74,TIRAGE « LUCKY TUESDAY » N°766,38,24,75,48
9,MARDI 24 MAI 2022,86,TIRAGE « EMERGENCE » NUMEROS MACHINE N°317,52,25,63,55
10,MARDI 24 MAI 2022,89,TIRAGE «SIKA» N°177,79,90,75,28
11,MARDI 24 MAI 2022,38,TIRAGE « LA MATINALE » NUMEROS MACHINE N°196,24,08,34,80
=======
0,DIMANCHE 29 MAI 2022,59,TIRAGE «AWALE» N°177,18,85,21,80
1,DIMANCHE 29 MAI 2022,67,TIRAGE «AWALE» NUMEROS MACHINE N°177,86,89,47,76
2,DIMANCHE 29 MAI 2022,01,TIRAGE «PRESTIGE» N°245,90,60,77,85
3,DIMANCHE 29 MAI 2022,76,TIRAGE «PRESTIGE» NUMEROS MACHINE N°245,68,67,44,54
4,DIMANCHE 29 MAI 2022,23,TIRAGE «BENEDICTION» N°197,61,76,63,86
5,DIMANCHE 29 MAI 2022,59,TIRAGE «BENEDICTION» NUMEROS MACHINE N°197,21,15,44,85
6,SAMEDI 28 MAI 2022,01,TIRAGE « MOAYE » N°177,28,69,85,48
7,SAMEDI 28 MAI 2022,70,TIRAGE « MOAYE » NUMEROS MACHINE N°177,51,43,19,31
8,SAMEDI 28 MAI 2022,16,TIRAGE « DIAMANT» N°726,64,75,54,85
9,SAMEDI 28 MAI 2022,73,TIRAGE « DIAMANT» NUMEROS MACHINE N°726,28,44,03,53
10,SAMEDI 28 MAI 2022,32,TIRAGE « SOUTRA» N°197,57,90,44,08
11,SAMEDI 28 MAI 2022,61,TIRAGE « SOUTRA» NUMEROS MACHINE N°197,35,84,21,46
>>>>>>> 19cfb5c48ca9d772255f0b8fbe3608319d83c900
