,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 28 JUIN 2022,05,TIRAGE « LUCKY TUESDAY » N°771,30,65,40,17
1,MARDI 28 JUIN 2022,25,TIRAGE «SIKA» NUMEROS MACHINE N°182,78,83,68,07
2,MARDI 28 JUIN 2022,65,TIRAGE «SIKA» N°182,47,34,74,28
3,MARDI 28 JUIN 2022,10,DU TIRAGE « EMERGENCE » NUMEROS MACHINE N°322,23,09,01,81
4,MARDI 28 JUIN 2022,64,TIRAGE « EMERGENCE » N°322,44,43,62,41
5,MARDI 28 JUIN 2022,53,TIRAGE « LA MATINALE » NUMEROS MACHINE N°201,25,09,65,23
6,MARDI 28 JUIN 2022,35,TIRAGE « LA MATINALE » N°201,29,07,32,56
7,LUNDI 27 JUIN 2022,83,TIRAGE «AKWABA» NUMEROS MACHINE N°182,50,39,45,12
8,LUNDI 27 JUIN 2022,18,TIRAGE «MONDAY SPECIAL» N°836,43,39,53,41
9,LUNDI 27 JUIN 2022,79,TIRAGE «ETOILE» NUMEROS MACHINE N°321,07,02,13,30
10,LUNDI 27 JUIN 2022,35,TIRAGE «AKWABA» N°182,30,37,86,23
11,LUNDI 27 JUIN 2022,63,TIRAGE «REVEIL» NUMEROS MACHINE N°201,59,17,24,05
