,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 21 JUILLET 2022,28,TIRAGE «MONNI» N°185,23,05,76,02
1,JEUDI 21 JUILLET 2022,84,TIRAGE «MONNI» NUMEROS MACHINE N°185,09,35,58,90
2,JEUDI 21 JUILLET 2022,28,TIRAGE «MONNI» N°185,23,05,76,02
3,JEUDI 21 JUILLET 2022,84,TIRAGE «MONNI» NUMEROS MACHINE N°185,09,35,58,90
4,JEUDI 21 JUILLET 2022,29,TIRAGE «PRIVILEGE» N°325,44,21,17,87
5,JEUDI 21 JUILLET 2022,52,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°325,78,85,80,53
6,JEUDI 21 JUILLET 2022,39,TIRAGE «KADO» N°203,73,32,46,22
7,JEUDI 21 JUILLET 2022,87,TIRAGE «KADO» NUMEROS MACHINE N°203,20,17,58,03
8,MERCREDI 20 JUILLET 2022,66,TIRAGE « MID WEEK » N°972,85,43,45,80
9,MERCREDI 20 JUILLET 2022,31,TIRAGE «BARAKA» NUMEROS MACHINE N°185,43,63,57,14
10,MERCREDI 20 JUILLET 2022,79,TIRAGE «BARAKA» N°185,29,52,66,65
11,MERCREDI 20 JUILLET 2022,84,TIRAGE «FORTUNE» NUMEROS MACHINE N°733,88,65,71,89
