,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 6 JUILLET 2022,38,TIRAGE «BARAKA» N°183,43,17,10,74
1,MERCREDI 6 JUILLET 2022,60,TIRAGE «BARAKA» NUMEROS MACHINE N°183,15,06,59,82
2,MERCREDI 6 JUILLET 2022,45,TIRAGE «FORTUNE» N°731,24,07,12,75
3,MERCREDI 6 JUILLET 2022,70,TIRAGE «FORTUNE» NUMEROS MACHINE N°731,22,40,84,26
4,MERCREDI 6 JUILLET 2022,24,TIRAGE «PREMIERE HEURE» N°202,61,53,65,35
5,MERCREDI 6 JUILLET 2022,31,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°202,67,12,60,88
6,MARDI 5 JUILLET 2022,23,TIRAGE «SIKA» N°183,25,60,79,71
7,MARDI 5 JUILLET 2022,14,TIRAGE «SIKA» NUMEROS MACHINE N°183,70,38,07,61
8,MARDI 5 JUILLET 2022,83,DU TIRAGE « EMERGENCE » N°323,35,77,19,42
9,MARDI 5 JUILLET 2022,78,DU TIRAGE « EMERGENCE » NUMEROS MACHINE N°323,12,68,17,40
10,MARDI 5 JUILLET 2022,64,TIRAGE « LA MATINALE » N°202,22,42,25,88
11,MARDI 5 JUILLET 2022,60,TIRAGE « LA MATINALE » NUMEROS MACHINE N°202,67,05,18,90
