,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 8 SEPTEMBRE 2022,55,TIRAGE «PRIVILEGE» N°332,67,40,12,87
1,JEUDI 8 SEPTEMBRE 2022,07,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°332,06,63,29,54
2,MERCREDI 7 SEPTEMBRE 2022,36,TIRAGE «FORTUNE» N°739,74,53,21,70
3,MERCREDI 7 SEPTEMBRE 2022,18,TIRAGE «FORTUNE» NUMEROS MACHINE N°739,72,49,67,85
4,MERCREDI 7 SEPTEMBRE 2022,53,TIRAGE « MID WEEK » N°979,16,54,62,43
5,MERCREDI 7 SEPTEMBRE 2022,13,TIRAGE «BARAKA» NUMEROS MACHINE N°192,43,41,20,29
6,MERCREDI 7 SEPTEMBRE 2022,28,TIRAGE «BARAKA» N°192,50,16,54,71
7,MARDI 6 SEPTEMBRE 2022,46,TIRAGE «SIKA» NUMEROS MACHINE N°192,08,12,64,25
8,MARDI 6 SEPTEMBRE 2022,34,TIRAGE «SIKA» N°192,62,81,20,84
9,MARDI 6 SEPTEMBRE 2022,69,TIRAGE « EMERGENCE » NUMEROS MACHINE N°332,01,63,29,24
10,MARDI 6 SEPTEMBRE 2022,22,TIRAGE « EMERGENCE » N°332,80,76,07,36
11,MARDI 6 SEPTEMBRE 2022,46,TIRAGE « LA MATINALE » NUMEROS MACHINE N°211,56,03,76,73
