,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 13 JUIN 2022,64,TIRAGE «ETOILE» N°319,51,11,57,53
1,LUNDI 13 JUIN 2022,79,TIRAGE «ETOILE» NUMEROS MACHINE N°319,13,44,77,10
2,LUNDI 13 JUIN 2022,49,TIRAGE «REVEIL» N°199,74,10,41,88
3,LUNDI 13 JUIN 2022,39,TIRAGE «REVEIL» NUMEROS MACHINE N°199,55,37,66,16
4,DIMANCHE 12 JUIN 2022,15,TIRAGE «ESPOIR» N°216,64,77,40,32
5,DIMANCHE 12 JUIN 2022,39,TIRAGE «ESPOIR» NUMEROS MACHINE N°216,41,42,46,19
6,DIMANCHE 12 JUIN 2022,24,TIRAGE «AWALE» N°179,88,18,90,69
7,DIMANCHE 12 JUIN 2022,01,TIRAGE «AWALE» NUMEROS MACHINE N°179,04,63,42,44
8,DIMANCHE 12 JUIN 2022,56,TIRAGE «PRESTIGE» N°247,28,66,62,20
9,DIMANCHE 12 JUIN 2022,67,DU TIRAGE «PRESTIGE» NUMEROS MACHINE N°247,59,52,53,75
10,DIMANCHE 12 JUIN 2022,52,TIRAGE «BENEDICTION» N°199,40,03,83,78
11,DIMANCHE 12 JUIN 2022,51,TIRAGE «BENEDICTION» NUMEROS MACHINE N°199,79,84,17,05
