,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 24 JANVIER 2022,04,TIRAGE «REVEIL» N°179,42,21,39,64
1,LUNDI 24 JANVIER 2022,35,TIRAGE «REVEIL» NUMEROS MACHINE N°179,06,27,20,72
2,DIMANCHE 23 JANVIER 2022,41,TIRAGE «AWALE» N°159,59,06,56,08
3,LUNDI 24 JANVIER 2022,33,TIRAGE «ESPOIR» NUMEROS MACHINE N°196,01,28,49,03
4,DIMANCHE 23 JANVIER 2022,59,TIRAGE «PRESTIGE» N°227,85,90,21,71
5,DIMANCHE 23 JANVIER 2022,47,TIRAGE «AWALE» NUMEROS MACHINE N°159,32,73,49,46
6,DIMANCHE 23 JANVIER 2022,47,TIRAGE «BENEDICTION» N°178,42,13,09,05
7,DIMANCHE 23 JANVIER 2022,22,TIRAGE «PRESTIGE» NUMEROS MACHINE N°227,87,05,09,02
8,DIMANCHE 23 JANVIER 2022,02,TIRAGE «ESPOIR» N°196,57,35,78,11
9,DIMANCHE 23 JANVIER 2022,43,TIRAGE «BENEDICTION» NUMEROS MACHINE N°178,66,57,48,04
10,SAMEDI 22 JANVIER 2022,74,TIRAGE « MOAYE » N°159,09,55,78,16
11,SAMEDI 22 JANVIER 2022,32,TIRAGE « MOAYE » NULEROS MACHINE N°159,90,01,14,85
