,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 17 MARS 2022,16,TIRAGE «PRIVILEGE» N°307,45,42,55,73
1,JEUDI 17 MARS 2022,75,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°307,32,56,29,89
2,JEUDI 17 MARS 2022,01,TIRAGE «KADO» N°185,32,58,29,89
3,JEUDI 17 MARS 2022,88,TIRAGE «KADO» NUMEROS MACHINE N°185,03,44,83,15
4,MERCREDI 16 MARS 2022,88,TIRAGE «BARAKA» N°167,85,83,72,03
5,MERCREDI 16 MARS 2022,17,TIRAGE «BARAKA» NUMEROS MACHINE N°167,66,59,84,86
6,MERCREDI 16 MARS 2022,81,TIRAGE «FORTUNE» N°715,56,24,21,29
7,MERCREDI 16 MARS 2022,30,TIRAGE «FORTUNE» NUMEROS MACHINE N°715,07,89,41,25
8,MERCREDI 16 MARS 2022,56,TIRAGE «PREMIERE HEURE» N°186,37,64,47,66
9,MERCREDI 16 MARS 2022,26,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°186,67,81,89,55
10,MERCREDI 16 MARS 2022,58,TIRAGE « MID WEEK » N°954,27,90,06,44
11,LUNDI 14 MARS 2022,54,TIRAGE «AKWABA» NUMEROS MACHINE N°167,45,36,81,43
