,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 19 JUILLET 2022,26,TIRAGE «SIKA» N°185,49,03,33,63
1,MARDI 19 JUILLET 2022,70,TIRAGE «SIKA» NUMEROS MACHINE N°185,64,05,35,84
2,MARDI 19 JUILLET 2022,66,TIRAGE « EMERGENCE » N°325,51,73,82,55
3,MARDI 19 JUILLET 2022,42,TIRAGE « EMERGENCE » NUMEROS MACHINE N°325,26,41,56,85
4,MARDI 19 JUILLET 2022,80,TIRAGE « LA MATINALE » N°204,09,87,25,10
5,MARDI 19 JUILLET 2022,41,TIRAGE « LA MATINALE » NUMEROS MACHINE N°204,38,85,16,18
6,LUNDI 18 JUILLET 2022,64,TIRAGE «MONDAY SPECIAL» N°838,62,47,80,53
7,LUNDI 18 JUILLET 2022,90,TIRAGE «AKWABA» NUMEROS MACHINE N°185,40,71,43,23
8,LUNDI 18 JUILLET 2022,55,TIRAGE «AKWABA» N°185,68,27,26,39
9,LUNDI 18 JUILLET 2022,49,TIRAGE «ETOILE» NUMEROS MACHINE N°324,66,54,19,12
10,LUNDI 18 JUILLET 2022,88,TIRAGE «ETOILE» N°324,63,42,89,29
11,LUNDI 18 JUILLET 2022,13,TIRAGE «REVEIL» NUMEROS MACHINE N°204,26,37,53,80
