,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 8 JUIN 2022,80,TIRAGE « MID WEEK » N°966,15,01,20,46
1,MERCREDI 8 JUIN 2022,10,TIRAGE «BARAKA» NUMEROS MACHINE N°179,77,84,43,05
2,MERCREDI 8 JUIN 2022,87,TIRAGE «BARAKA» N°179,18,72,08,46
3,MERCREDI 8 JUIN 2022,84,TIRAGE «FORTUNE» NUMEROS MACHINE N°727,18,83,66,78
4,MERCREDI 8 JUIN 2022,10,TIRAGE «FORTUNE» N°727,47,77,44,58
5,MERCREDI 8 JUIN 2022,33,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°198,53,78,67,46
6,MERCREDI 8 JUIN 2022,68,TIRAGE «PREMIERE HEURE» N°198,77,16,18,71
7,MARDI 7 JUIN 2022,27,TIRAGE «SIKA» NUMEROS MACHINE N°179,75,04,70,33
8,MARDI 7 JUIN 2022,53,TIRAGE « LUCKY TUESDAY » N°768,70,73,56,17
9,MARDI 7 JUIN 2022,15,TIRAGE « EMERGENCE » NUMEROS MACHINE N°319,37,72,62,47
10,MARDI 7 JUIN 2022,53,TIRAGE « LUCKY TUESDAY » N°768,70,73,56,17
11,MARDI 7 JUIN 2022,70,TIRAGE « LA MATINALE » NUMEROS MACHINE N°198,15,39,76,11
