,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 24 JUILLET 2022,75,TIRAGE «AWALE» N°185,13,78,33,73
1,DIMANCHE 24 JUILLET 2022,05,TIRAGE «AWALE» NUMEROS MACHINE N°185,14,86,67,18
2,DIMANCHE 24 JUILLET 2022,80,TIRAGE «PRESTIGE» N°253,87,26,70,06
3,DIMANCHE 24 JUILLET 2022,05,TIRAGE «AWALE» NUMEROS MACHINE N°185,14,86,67,18
4,DIMANCHE 24 JUILLET 2022,27,TIRAGE «BENEDICTION» N°205,23,69,20,29
5,DIMANCHE 24 JUILLET 2022,21,TIRAGE «PRESTIGE» NUMEROS MACHINE N°253,13,24,50,64
6,SAMEDI 23 JUILLET 2022,16,TIRAGE «SATURDAY NATIONAL » N°3118,48,05,64,65
7,DIMANCHE 24 JUILLET 2022,25,TIRAGE «BENEDICTION» NUMEROS MACHINE N°205,63,44,09,19
8,SAMEDI 23 JUILLET 2022,34,TIRAGE « MOAYE » N°185,75,06,22,10
9,SAMEDI 23 JUILLET 2022,88,TIRAGE « MOAYE » NUMEROS MACHINE N°185,83,67,51,47
10,SAMEDI 23 JUILLET 2022,78,TIRAGE « DIAMANT» N°734,65,60,41,83
11,SAMEDI 23 JUILLET 2022,53,TIRAGE « DIAMANT» NUMEROS MACHINE N°734,36,74,30,06
