,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 15 MAI 2022,70,TIRAGE «BENEDICTION» N°195,23,78,38,86
1,DIMANCHE 15 MAI 2022,36,TIRAGE «BENEDICTION» NUMEROS MACHINE N°195,39,84,20,75
2,SAMEDI 14 MAI 2022,08,TIRAGE « MOAYE » N°175,07,35,03,45
3,SAMEDI 14 MAI 2022,32,TIRAGE « MOAYE » NUMEROS MACHINE N°175,65,39,33,47
4,SAMEDI 14 MAI 2022,57,TIRAGE « DIAMANT» NUMEROS MACHINE N°724,68,41,22,83
5,SAMEDI 14 MAI 2022,57,TIRAGE « DIAMANT» NUMEROS MACHINE N°724,68,41,22,83
6,SAMEDI 14 MAI 2022,70,TIRAGE « DIAMANT» N°724,23,09,04,75
7,SAMEDI 14 MAI 2022,57,TIRAGE « DIAMANT» NUMEROS MACHINE N°724,68,41,22,83
8,SAMEDI 14 MAI 2022,34,TIRAGE « SOUTRA» N°195,68,07,01,04
9,SAMEDI 14 MAI 2022,46,TIRAGE « SOUTRA» NUMEROS MACHINE N°195,19,14,53,13
10,VENDREDI 13 MAI 2022,76,TIRAGE « FRIDAY BONANZA» N° 736,54,16,01,63
11,SAMEDI 14 MAI 2022,46,TIRAGE « SOUTRA» NUMEROS MACHINE N°195,19,14,53,13
